commodity_code,region_code,price_month,price_value,currency_code,unit,source_system,source_url,source_record_id
CEREALS,GLOBAL,1997-02-01,68.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-02_1388
CEREALS,GLOBAL,1997-03-01,70.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-03_1389
CEREALS,GLOBAL,1997-04-01,70.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-04_1390
CEREALS,GLOBAL,1997-05-01,68.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-05_1391
CEREALS,GLOBAL,1997-06-01,65.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-06_1392
CEREALS,GLOBAL,1997-07-01,62.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-07_1393
CEREALS,GLOBAL,1997-08-01,65.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-08_1394
CEREALS,GLOBAL,1997-09-01,65.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-09_1395
CEREALS,GLOBAL,1997-10-01,65.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-10_1396
CEREALS,GLOBAL,1997-11-01,64.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-11_1397
CEREALS,GLOBAL,1997-12-01,63.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-12_1398
CEREALS,GLOBAL,1998-01-01,62.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-01_1399
CEREALS,GLOBAL,1998-02-01,62.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-02_1400
CEREALS,GLOBAL,1998-03-01,63.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-03_1401
CEREALS,GLOBAL,1998-04-01,60.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-04_1402
CEREALS,GLOBAL,1998-05-01,60.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-05_1403
CEREALS,GLOBAL,1998-06-01,59.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-06_1404
CEREALS,GLOBAL,1998-07-01,57.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-07_1405
CEREALS,GLOBAL,1998-08-01,54.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-08_1406
CEREALS,GLOBAL,1998-09-01,53.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-09_1407
CEREALS,GLOBAL,1998-10-01,57.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-10_1408
CEREALS,GLOBAL,1998-11-01,58.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-11_1409
CEREALS,GLOBAL,1998-12-01,56.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1998-12_1410
CEREALS,GLOBAL,1999-01-01,57.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-01_1411
CEREALS,GLOBAL,1999-02-01,54.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-02_1412
CEREALS,GLOBAL,1999-03-01,55.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-03_1413
CEREALS,GLOBAL,1999-04-01,53.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-04_1414
CEREALS,GLOBAL,1999-05-01,52.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-05_1415
CEREALS,GLOBAL,1999-06-01,53.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-06_1416
CEREALS,GLOBAL,1999-07-01,51.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-07_1417
CEREALS,GLOBAL,1999-08-01,53.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-08_1418
CEREALS,GLOBAL,1999-09-01,52.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-09_1419
CEREALS,GLOBAL,1999-10-01,51.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-10_1420
CEREALS,GLOBAL,1999-11-01,51.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-11_1421
CEREALS,GLOBAL,1999-12-01,50.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1999-12_1422
CEREALS,GLOBAL,2000-01-01,52.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-01_1423
CEREALS,GLOBAL,2000-02-01,52.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-02_1424
CEREALS,GLOBAL,2000-03-01,51.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-03_1425
CEREALS,GLOBAL,2000-04-01,51.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-04_1426
CEREALS,GLOBAL,2000-05-01,52.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-05_1427
CEREALS,GLOBAL,2000-06-01,51.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-06_1428
CEREALS,GLOBAL,2000-07-01,49.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-07_1429
CEREALS,GLOBAL,2000-08-01,48.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-08_1430
CEREALS,GLOBAL,2000-09-01,49.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-09_1431
CEREALS,GLOBAL,2000-10-01,51.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-10_1432
CEREALS,GLOBAL,2000-11-01,52.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-11_1433
CEREALS,GLOBAL,2000-12-01,53.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2000-12_1434
CEREALS,GLOBAL,2001-01-01,53.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-01_1435
CEREALS,GLOBAL,2001-02-01,53.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-02_1436
CEREALS,GLOBAL,2001-03-01,52.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-03_1437
CEREALS,GLOBAL,2001-04-01,51.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-04_1438
CEREALS,GLOBAL,2001-05-01,51.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-05_1439
CEREALS,GLOBAL,2001-06-01,51.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-06_1440
CEREALS,GLOBAL,2001-07-01,51.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_2001-07_1441
