commodity_name,symbol,price_text,currency,ref_period,unit,source_name,source_url,collected_at,record_id
FOOD PRICE INDEX,,78.7,INDEX_POINTS,1996-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-03_75
FOOD PRICE INDEX,,80.9,INDEX_POINTS,1996-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-04_76
FOOD PRICE INDEX,,82.5,INDEX_POINTS,1996-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-05_77
FOOD PRICE INDEX,,80.7,INDEX_POINTS,1996-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-06_78
FOOD PRICE INDEX,,80.5,INDEX_POINTS,1996-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-07_79
FOOD PRICE INDEX,,80.1,INDEX_POINTS,1996-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-08_80
FOOD PRICE INDEX,,77.1,INDEX_POINTS,1996-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-09_81
FOOD PRICE INDEX,,74.4,INDEX_POINTS,1996-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-10_82
FOOD PRICE INDEX,,72.7,INDEX_POINTS,1996-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-11_83
FOOD PRICE INDEX,,71.5,INDEX_POINTS,1996-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1996-12_84
FOOD PRICE INDEX,,71.0,INDEX_POINTS,1997-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-01_85
FOOD PRICE INDEX,,71.2,INDEX_POINTS,1997-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1997-02_86
